X,Y
-20.00,-111.00
-19.00,-95.50
-18.00,-81.00
-17.00,-67.50
-16.00,-55.00
-15.00,-43.50
-14.00,-33.00
-13.00,-23.50
-12.00,-15.00
-11.00,-7.50
-10.00,-1.00
-9.00,4.50
-8.00,9.00
-7.00,12.50
-6.00,15.00
-5.00,16.50
-4.00,17.00
-3.00,16.50
-2.00,15.00
-1.00,12.50
0.00,9.00
1.00,4.50
2.00,-1.00
3.00,-7.50
4.00,-15.00
5.00,-23.50
6.00,-33.00
7.00,-43.50
8.00,-55.00
9.00,-67.50
10.00,-81.00
11.00,-95.50
12.00,-111.00
13.00,-127.50
14.00,-145.00
15.00,-163.50
16.00,-183.00
17.00,-203.50
18.00,-225.00
19.00,-247.50
20.00,-271.00
