X,Y
-20.00,-83.12
-19.00,-80.19
-18.00,-73.57
-17.00,-64.61
-16.00,-54.65
-15.00,-44.52
-14.00,-34.45
-13.00,-24.38
-12.00,-14.44
-11.00,-5.11
-10.00,2.78
-9.00,8.52
-8.00,11.77
-7.00,12.92
-6.00,12.89
-5.00,12.79
-4.00,13.25
-3.00,14.12
-2.00,14.62
-1.00,13.79
0.00,11.03
1.00,6.25
2.00,-0.17
3.00,-7.65
4.00,-15.68
5.00,-24.09
6.00,-33.11
7.00,-43.18
8.00,-54.51
9.00,-66.96
10.00,-80.22
11.00,-94.11
12.00,-108.85
13.00,-124.85
14.00,-142.45
15.00,-161.49
16.00,-181.22
17.00,-200.23
18.00,-216.62
19.00,-228.22
20.00,-233.22
