X,Y
-100.00,9408.00
-99.00,9215.00
-98.00,9024.00
-97.00,8835.00
-96.00,8648.00
-95.00,8463.00
-94.00,8280.00
-93.00,8099.00
-92.00,7920.00
-91.00,7743.00
-90.00,7568.00
-89.00,7395.00
-88.00,7224.00
-87.00,7055.00
-86.00,6888.00
-85.00,6723.00
-84.00,6560.00
-83.00,6399.00
-82.00,6240.00
-81.00,6083.00
-80.00,5928.00
-79.00,5775.00
-78.00,5624.00
-77.00,5475.00
-76.00,5328.00
-75.00,5183.00
-74.00,5040.00
-73.00,4899.00
-72.00,4760.00
-71.00,4623.00
-70.00,4488.00
-69.00,4355.00
-68.00,4224.00
-67.00,4095.00
-66.00,3968.00
-65.00,3843.00
-64.00,3720.00
-63.00,3599.00
-62.00,3480.00
-61.00,3363.00
-60.00,3248.00
-59.00,3135.00
-58.00,3024.00
-57.00,2915.00
-56.00,2808.00
-55.00,2703.00
-54.00,2600.00
-53.00,2499.00
-52.00,2400.00
-51.00,2303.00
-50.00,2208.00
-49.00,2115.00
-48.00,2024.00
-47.00,1935.00
-46.00,1848.00
-45.00,1763.00
-44.00,1680.00
-43.00,1599.00
-42.00,1520.00
-41.00,1443.00
-40.00,1368.00
-39.00,1295.00
-38.00,1224.00
-37.00,1155.00
-36.00,1088.00
-35.00,1023.00
-34.00,960.00
-33.00,899.00
-32.00,840.00
-31.00,783.00
-30.00,728.00
-29.00,675.00
-28.00,624.00
-27.00,575.00
-26.00,528.00
-25.00,483.00
-24.00,440.00
-23.00,399.00
-22.00,360.00
-21.00,323.00
-20.00,288.00
-19.00,255.00
-18.00,224.00
-17.00,195.00
-16.00,168.00
-15.00,143.00
-14.00,120.00
-13.00,99.00
-12.00,80.00
-11.00,63.00
-10.00,48.00
-9.00,35.00
-8.00,24.00
-7.00,15.00
-6.00,8.00
-5.00,3.00
-4.00,0.00
-3.00,-1.00
-2.00,0.00
-1.00,3.00
0.00,8.00
1.00,15.00
2.00,24.00
3.00,35.00
4.00,48.00
5.00,63.00
6.00,80.00
7.00,99.00
8.00,120.00
9.00,143.00
10.00,168.00
11.00,195.00
12.00,224.00
13.00,255.00
14.00,288.00
15.00,323.00
16.00,360.00
17.00,399.00
18.00,440.00
19.00,483.00
20.00,528.00
21.00,575.00
22.00,624.00
23.00,675.00
24.00,728.00
25.00,783.00
26.00,840.00
27.00,899.00
28.00,960.00
29.00,1023.00
30.00,1088.00
31.00,1155.00
32.00,1224.00
33.00,1295.00
34.00,1368.00
35.00,1443.00
36.00,1520.00
37.00,1599.00
38.00,1680.00
39.00,1763.00
40.00,1848.00
41.00,1935.00
42.00,2024.00
43.00,2115.00
44.00,2208.00
45.00,2303.00
46.00,2400.00
47.00,2499.00
48.00,2600.00
49.00,2703.00
50.00,2808.00
51.00,2915.00
52.00,3024.00
53.00,3135.00
54.00,3248.00
55.00,3363.00
56.00,3480.00
57.00,3599.00
58.00,3720.00
59.00,3843.00
60.00,3968.00
61.00,4095.00
62.00,4224.00
63.00,4355.00
64.00,4488.00
65.00,4623.00
66.00,4760.00
67.00,4899.00
68.00,5040.00
69.00,5183.00
70.00,5328.00
71.00,5475.00
72.00,5624.00
73.00,5775.00
74.00,5928.00
75.00,6083.00
76.00,6240.00
77.00,6399.00
78.00,6560.00
79.00,6723.00
80.00,6888.00
81.00,7055.00
82.00,7224.00
83.00,7395.00
84.00,7568.00
85.00,7743.00
86.00,7920.00
87.00,8099.00
88.00,8280.00
89.00,8463.00
90.00,8648.00
91.00,8835.00
92.00,9024.00
93.00,9215.00
94.00,9408.00
95.00,9603.00
96.00,9800.00
97.00,9999.00
98.00,10200.00
99.00,10403.00
100.00,10608.00
