X,Y
-20.00,288.00
-19.00,255.00
-18.00,224.00
-17.00,195.00
-16.00,168.00
-15.00,143.00
-14.00,120.00
-13.00,99.00
-12.00,80.00
-11.00,63.00
-10.00,48.00
-9.00,35.00
-8.00,24.00
-7.00,15.00
-6.00,8.00
-5.00,3.00
-4.00,0.00
-3.00,-1.00
-2.00,0.00
-1.00,3.00
0.00,8.00
1.00,15.00
2.00,24.00
3.00,35.00
4.00,48.00
5.00,63.00
6.00,80.00
7.00,99.00
8.00,120.00
9.00,143.00
10.00,168.00
11.00,195.00
12.00,224.00
13.00,255.00
14.00,288.00
15.00,323.00
16.00,360.00
17.00,399.00
18.00,440.00
19.00,483.00
20.00,528.00
