X,Y
-20.00,431.00
-19.00,354.00
-18.00,143.00
-17.00,180.00
-16.00,116.00
-15.00,198.00
-14.00,279.00
-13.00,261.00
-12.00,173.00
-11.00,223.00
-10.00,-38.00
-9.00,-171.00
-8.00,30.00
-7.00,16.00
-6.00,77.00
-5.00,-112.00
-4.00,-50.00
-3.00,-144.00
-2.00,59.00
-1.00,207.00
0.00,-9.00
1.00,-26.00
2.00,-27.00
3.00,99.00
4.00,81.00
5.00,-10.00
6.00,91.00
7.00,290.00
8.00,234.00
9.00,203.00
10.00,-46.00
11.00,347.00
12.00,202.00
13.00,474.00
14.00,282.00
15.00,477.00
16.00,155.00
17.00,305.00
18.00,193.00
19.00,268.00
20.00,680.00
