X,Y
-20.00,279.00
-19.00,261.67
-18.00,230.00
-17.00,197.67
-16.00,169.00
-15.00,142.00
-14.00,124.00
-13.00,104.00
-12.00,84.67
-11.00,62.00
-10.00,44.67
-9.00,31.00
-8.00,21.33
-7.00,15.33
-6.00,12.00
-5.00,9.00
-4.00,6.33
-3.00,4.67
-2.00,7.00
-1.00,6.33
0.00,10.33
1.00,18.00
2.00,28.00
3.00,38.00
4.00,47.00
5.00,60.00
6.00,75.33
7.00,94.33
8.00,117.00
9.00,143.33
10.00,170.67
11.00,200.67
12.00,228.33
13.00,255.33
14.00,286.33
15.00,319.00
16.00,359.00
17.00,400.33
18.00,443.67
19.00,488.67
20.00,510.50
