X,Y
-100.00,11802.00
-99.00,10844.00
-98.00,8489.00
-97.00,9761.00
-96.00,6779.00
-95.00,8719.00
-94.00,6218.00
-93.00,10214.00
-92.00,6432.00
-91.00,10023.00
-90.00,9776.00
-89.00,9835.00
-88.00,4745.00
-87.00,4531.00
-86.00,5780.00
-85.00,8854.00
-84.00,5010.00
-83.00,4551.00
-82.00,4911.00
-81.00,4741.00
-80.00,4213.00
-79.00,7997.00
-78.00,4849.00
-77.00,3361.00
-76.00,4549.00
-75.00,6704.00
-74.00,5204.00
-73.00,6210.00
-72.00,6047.00
-71.00,6218.00
-70.00,5548.00
-69.00,3933.00
-68.00,6344.00
-67.00,2392.00
-66.00,3802.00
-65.00,6129.00
-64.00,2968.00
-63.00,4613.00
-62.00,5670.00
-61.00,1947.00
-60.00,4886.00
-59.00,3266.00
-58.00,2462.00
-57.00,443.00
-56.00,1536.00
-55.00,3047.00
-54.00,3437.00
-53.00,1136.00
-52.00,2476.00
-51.00,2969.00
-50.00,743.00
-49.00,678.00
-48.00,1164.00
-47.00,3056.00
-46.00,862.00
-45.00,-698.00
-44.00,1895.00
-43.00,-927.00
-42.00,2533.00
-41.00,-248.00
-40.00,3743.00
-39.00,2106.00
-38.00,-338.00
-37.00,1374.00
-36.00,2242.00
-35.00,-1182.00
-34.00,-1574.00
-33.00,-1103.00
-32.00,950.00
-31.00,-210.00
-30.00,3184.00
-29.00,2454.00
-28.00,111.00
-27.00,2292.00
-26.00,2983.00
-25.00,1778.00
-24.00,-847.00
-23.00,1626.00
-22.00,2843.00
-21.00,1560.00
-20.00,-1054.00
-19.00,-1880.00
-18.00,-1226.00
-17.00,-275.00
-16.00,1824.00
-15.00,1437.00
-14.00,977.00
-13.00,1516.00
-12.00,2089.00
-11.00,-1699.00
-10.00,2070.00
-9.00,-743.00
-8.00,2192.00
-7.00,2120.00
-6.00,917.00
-5.00,2031.00
-4.00,-692.00
-3.00,229.00
-2.00,1552.00
-1.00,324.00
0.00,-1354.00
1.00,2354.00
2.00,589.00
3.00,334.00
4.00,-121.00
5.00,381.00
6.00,-2.00
7.00,2320.00
8.00,-285.00
9.00,252.00
10.00,1687.00
11.00,1031.00
12.00,2674.00
13.00,-1308.00
14.00,2216.00
15.00,659.00
16.00,-713.00
17.00,-262.00
18.00,565.00
19.00,-424.00
20.00,1419.00
21.00,-823.00
22.00,-918.00
23.00,1396.00
24.00,1433.00
25.00,-604.00
26.00,3266.00
27.00,1434.00
28.00,3130.00
29.00,-100.00
30.00,3091.00
31.00,2723.00
32.00,175.00
33.00,130.00
34.00,242.00
35.00,-915.00
36.00,2347.00
37.00,1647.00
38.00,-537.00
39.00,-282.00
40.00,365.00
41.00,1608.00
42.00,1423.00
43.00,65.00
44.00,14.00
45.00,4351.00
46.00,620.00
47.00,3071.00
48.00,92.00
49.00,4825.00
50.00,1732.00
51.00,3037.00
52.00,3171.00
53.00,2351.00
54.00,4797.00
55.00,1221.00
56.00,5402.00
57.00,1363.00
58.00,3736.00
59.00,6287.00
60.00,5889.00
61.00,3544.00
62.00,1900.00
63.00,6521.00
64.00,6551.00
65.00,6251.00
66.00,4123.00
67.00,3824.00
68.00,4749.00
69.00,5963.00
70.00,4786.00
71.00,7400.00
72.00,6220.00
73.00,3298.00
74.00,5994.00
75.00,7615.00
76.00,4295.00
77.00,7573.00
78.00,6818.00
79.00,6982.00
80.00,7582.00
81.00,9127.00
82.00,8331.00
83.00,7708.00
84.00,9177.00
85.00,8619.00
86.00,6064.00
87.00,9649.00
88.00,8309.00
89.00,5952.00
90.00,9659.00
91.00,7165.00
92.00,10926.00
93.00,7018.00
94.00,11466.00
95.00,8131.00
96.00,12208.00
97.00,11607.00
98.00,11421.00
99.00,8793.00
100.00,11834.00
