X,Y
-100.00,9263.10
-99.00,9224.10
-98.00,9132.23
-97.00,8999.63
-96.00,8840.89
-95.00,8668.41
-94.00,8488.84
-93.00,8302.02
-92.00,8102.45
-91.00,7882.80
-90.00,7637.76
-89.00,7367.09
-88.00,7076.63
-87.00,6777.39
-86.00,6483.20
-85.00,6207.91
-84.00,5963.11
-83.00,5756.80
-82.00,5593.01
-81.00,5472.25
-80.00,5392.13
-79.00,5347.89
-78.00,5332.74
-77.00,5337.98
-76.00,5353.23
-75.00,5367.01
-74.00,5367.93
-73.00,5346.23
-72.00,5295.43
-71.00,5213.40
-70.00,5102.51
-69.00,4968.56
-68.00,4818.76
-67.00,4659.46
-66.00,4494.38
-65.00,4323.91
-64.00,4145.76
-63.00,3956.77
-62.00,3754.99
-61.00,3541.39
-60.00,3320.44
-59.00,3099.38
-58.00,2886.32
-57.00,2688.11
-56.00,2508.48
-55.00,2347.35
-54.00,2201.38
-53.00,2065.47
-52.00,1934.72
-51.00,1806.07
-50.00,1679.27
-49.00,1556.89
-48.00,1443.53
-47.00,1344.44
-46.00,1263.82
-45.00,1203.28
-44.00,1160.74
-43.00,1130.20
-42.00,1102.69
-41.00,1068.37
-40.00,1019.36
-39.00,952.60
-38.00,871.62
-37.00,786.66
-36.00,712.62
-35.00,665.45
-34.00,657.81
-33.00,695.41
-32.00,775.02
-31.00,884.84
-30.00,1006.88
-29.00,1120.69
-28.00,1207.27
-27.00,1252.34
-26.00,1248.32
-25.00,1195.14
-24.00,1099.84
-23.00,975.45
-22.00,839.03
-21.00,709.18
-20.00,602.98
-19.00,533.07
-18.00,505.40
-17.00,518.46
-16.00,564.28
-15.00,630.97
-14.00,705.79
-13.00,777.94
-12.00,839.95
-11.00,887.80
-10.00,919.83
-9.00,935.53
-8.00,934.77
-7.00,917.72
-6.00,885.41
-5.00,840.31
-4.00,786.51
-3.00,729.30
-2.00,674.28
-1.00,626.44
0.00,589.52
1.00,565.82
2.00,556.32
3.00,560.96
4.00,578.76
5.00,607.66
6.00,644.33
7.00,683.92
8.00,720.35
9.00,746.90
10.00,757.34
11.00,747.21
12.00,715.00
13.00,662.83
14.00,596.45
15.00,524.59
16.00,457.72
17.00,406.66
18.00,381.05
19.00,388.19
20.00,431.98
21.00,512.28
22.00,624.56
23.00,759.95
24.00,905.97
25.00,1047.80
26.00,1170.25
27.00,1260.06
28.00,1308.08
29.00,1310.85
30.00,1271.22
31.00,1197.66
32.00,1102.60
33.00,1000.18
34.00,903.91
35.00,825.09
36.00,771.87
37.00,749.34
38.00,759.99
39.00,804.38
40.00,881.68
41.00,989.79
42.00,1125.47
43.00,1284.28
44.00,1460.80
45.00,1649.05
46.00,1843.02
47.00,2037.32
48.00,2227.75
49.00,2411.70
50.00,2588.41
51.00,2758.89
52.00,2925.68
53.00,3092.14
54.00,3261.66
55.00,3436.72
56.00,3618.12
57.00,3804.60
58.00,3992.90
59.00,4178.35
60.00,4355.74
61.00,4520.35
62.00,4668.83
63.00,4799.89
64.00,4914.51
65.00,5015.79
66.00,5108.33
67.00,5197.47
68.00,5288.43
69.00,5385.80
70.00,5493.47
71.00,5614.80
72.00,5752.82
73.00,5910.28
74.00,6089.10
75.00,6289.56
76.00,6509.36
77.00,6743.10
78.00,6982.37
79.00,7216.75
80.00,7435.43
81.00,7629.20
82.00,7792.33
83.00,7923.89
84.00,8028.17
85.00,8114.16
86.00,8194.12
87.00,8281.55
88.00,8388.92
89.00,8525.61
90.00,8696.26
91.00,8900.00
92.00,9130.49
93.00,9376.87
94.00,9625.47
95.00,9861.79
96.00,10072.57
97.00,10247.20
98.00,10378.35
99.00,10461.74
100.00,10495.34
